pathway description	SRR17644439
PWY-3461	Biosynthesis; Amino Acid Biosynthesis
PWY-3462	Biosynthesis; Amino Acid Biosynthesis
PWY-3561	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-3602	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3621	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3641	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3661	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3721	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-3722	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-3781	Generation of Precursor Metabolite and Energy; Respiration
PWY-3801	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-3941	Biosynthesis; Amino Acid Biosynthesis
PWY-3982	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-4	Biosynthesis; Carbohydrate Biosynthesis
PWY-40	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-4081	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-4101	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-4121	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-4181	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-4261	Degradation/Utilization/Assimilation; Alcohol Degradation
PWY-43	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-4341	Biosynthesis; Amino Acid Biosynthesis
PWY-4361	Biosynthesis; Amino Acid Biosynthesis
PWY-4381	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-4521	Generation of Precursor Metabolite and Energy; Respiration
PWY-46	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-4601	Generation of Precursor Metabolite and Energy; Respiration
PWY-4621	Detoxification; Arsenate Detoxification
PWY-4722	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-4741	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-481	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-4821	Biosynthesis; Carbohydrate Biosynthesis
PWY-4861	Biosynthesis; Carbohydrate Biosynthesis
PWY-4921	Biosynthesis; Amino Acid Biosynthesis
PWY-4984	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5005	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5022	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5024	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5025	Biosynthesis; Hormone Biosynthesis
PWY-5026	Biosynthesis; Hormone Biosynthesis
PWY-5027	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5028	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5029	Biosynthesis; Amino Acid Biosynthesis
PWY-5033	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5041	Biosynthesis; Amino Acid Biosynthesis
PWY-5046	Generation of Precursor Metabolite and Energy; Respiration
PWY-5052	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5053	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5055	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5057	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5062	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5063	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5068	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5074	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5075	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5080	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5084	Generation of Precursor Metabolite and Energy; Respiration
PWY-5086	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5087	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5088	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5096	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5097	Biosynthesis; Amino Acid Biosynthesis
PWY-5100	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5101	Biosynthesis; Amino Acid Biosynthesis
PWY-5103	Biosynthesis; Amino Acid Biosynthesis
PWY-5104	Biosynthesis; Amino Acid Biosynthesis
PWY-5108	Biosynthesis; Amino Acid Biosynthesis
PWY-5120	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5121	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5122	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5123	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5130	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5137	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-5142	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5143	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5148	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5151	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5154	Biosynthesis; Amino Acid Biosynthesis
PWY-5155	Biosynthesis; Amino Acid Biosynthesis
PWY-5159	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5162	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5163	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5165	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5169	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5170	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5171	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5177	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5178	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5179	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5180	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5181	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5182	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5183	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5184	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5188	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5189	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5194	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5196	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5197	Generation of Precursor Metabolite and Energy; lactate biosynthesis (archaea)
PWY-5198	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5199	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5207	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5209	Generation of Precursor Metabolite and Energy; Respiration
PWY-5247	Generation of Precursor Metabolite and Energy; Respiration
PWY-5248	Generation of Precursor Metabolite and Energy; Respiration
PWY-5250	Generation of Precursor Metabolite and Energy; Respiration
PWY-5254	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5257	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-5258	Generation of Precursor Metabolite and Energy; Respiration
PWY-5259	Generation of Precursor Metabolite and Energy; Respiration
PWY-5260	Generation of Precursor Metabolite and Energy; Respiration
PWY-5261	Generation of Precursor Metabolite and Energy; Respiration
PWY-5265	Biosynthesis; Cell Structure Biosynthesis
PWY-5266	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5273	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5274	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5276	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5277	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5278	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5279	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5280	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5283	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5285	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5288	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5294	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5296	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5297	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5298	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5302	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5303	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5304	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5306	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5308	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5314	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5327	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5331	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5332	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5335	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5336	Degradation/Utilization/Assimilation; Degradation/Utilization/Assimilation - Other
PWY-5340	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5344	Biosynthesis; Amino Acid Biosynthesis
PWY-5345	Biosynthesis; Amino Acid Biosynthesis
PWY-5347	Biosynthesis; Amino Acid Biosynthesis
PWY-5350	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5352	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5358	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5359	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5360	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5364	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5366	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5370	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-5372	Degradation/Utilization/Assimilation; Chlorinated Compound Degradation
PWY-5382	Generation of Precursor Metabolite and Energy; Chemoautotrophic Energy Metabolism
PWY-5384	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-5386	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY-5389	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5392	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-5415	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5417	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5418	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5419	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5420	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5427	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5428	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5429	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5430	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5431	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5436	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5437	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5443	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5450	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5453	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY-5456	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY-5459	Degradation/Utilization/Assimilation; Aldehyde Degradation
PWY-5480	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5481	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5482	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5483	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5484	Generation of Precursor Metabolite and Energy; Glycolysis
PWY-5485	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5486	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5487	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5488	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5489	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5490	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5491	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5493	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-5494	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5497	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-5499	Degradation/Utilization/Assimilation; "Cofactor, Prosthetic Group, Electron Carrier Degradation"
PWY-5505	Biosynthesis; Amino Acid Biosynthesis
PWY-5507	Superpathways; adenosylcobalamin biosynthesis I (anaerobic)
PWY-5509	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5512	Biosynthesis; Carbohydrate Biosynthesis
PWY-5517	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-5519	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-5521	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5523	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5526	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5529	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5530	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5531	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5532	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-5533	Degradation/Utilization/Assimilation; Fatty Acid and Lipid Degradation
PWY-5534	Degradation/Utilization/Assimilation; Carbohydrate Degradation
PWY-5535	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5629	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5631	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5633	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5634	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5636	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5637	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5640	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5641	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5642	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5643	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5644	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5645	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5647	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5648	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5651	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5653	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5654	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5655	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5656	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-5658	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-5659	Biosynthesis; Carbohydrate Biosynthesis
PWY-5661	Biosynthesis; Carbohydrate Biosynthesis
PWY-5662	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-5663	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5667	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5668	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5669	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5670	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5674	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5675	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5676	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5677	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5679	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5686	Biosynthesis; Nucleoside and Nucleotide Biosynthesis
PWY-5691	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5694	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5695	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-5697	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5698	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5703	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5704	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5705	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5724	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5726	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5727	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5731	Degradation/Utilization/Assimilation; Aromatic Compound Degradation
PWY-5736	Degradation/Utilization/Assimilation; Amine and Polyamine Degradation
PWY-5737	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5738	Biosynthesis; Carbohydrate Biosynthesis
PWY-5739	Biosynthesis; Carbohydrate Biosynthesis
PWY-5740	Biosynthesis; Carbohydrate Biosynthesis
PWY-5741	Generation of Precursor Metabolite and Energy; ethylmalonyl-CoA pathway
PWY-5742	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5743	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-5744	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-5747	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5749	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5751	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5755	Biosynthesis; Aromatic Compound Biosynthesis
PWY-5757	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5766	Degradation/Utilization/Assimilation; Amino Acid Degradation
PWY-5770	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5776	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5782	Biosynthesis; Carbohydrate Biosynthesis
PWY-5783	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5785	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5789	Degradation/Utilization/Assimilation; C1 Compound Utilization and Assimilation
PWY-5794	Degradation/Utilization/Assimilation; Carboxylate Degradation
PWY-5796	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5805	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5806	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5807	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5816	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5817	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5818	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5823	Biosynthesis; Carbohydrate Biosynthesis
PWY-5830	Biosynthesis; Carbohydrate Biosynthesis
PWY-5831	Biosynthesis; Carbohydrate Biosynthesis
PWY-5832	Biosynthesis; Carbohydrate Biosynthesis
PWY-5833	Biosynthesis; Carbohydrate Biosynthesis
PWY-5834	Biosynthesis; Carbohydrate Biosynthesis
PWY-5837	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5838	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5839	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5840	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5844	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5845	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5849	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5850	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5851	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5852	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5853	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5855	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5856	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5857	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5860	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5861	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5862	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5863	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5875	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5885	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5886	Biosynthesis; Aromatic Compound Biosynthesis
PWY-5887	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5888	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5890	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5891	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5892	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5893	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5895	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5896	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5897	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5898	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5899	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5901	Biosynthesis; Aromatic Compound Biosynthesis
PWY-5903	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5907	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-5910	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5913	Generation of Precursor Metabolite and Energy; TCA cycle
PWY-5915	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5917	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5918	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5920	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5921	Biosynthesis; Aminoacyl-tRNA Charging
PWY-5922	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-5923	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-5924	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-5927	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-5929	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5930	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5935	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5938	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5939	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5940	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5941	Degradation/Utilization/Assimilation; Polymeric Compound Degradation
PWY-5942	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5943	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5944	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5945	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5946	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5947	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5950	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5951	Generation of Precursor Metabolite and Energy; Fermentation
PWY-5963	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5964	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-5965	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5966	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5971	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5972	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5973	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5978	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5979	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5981	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5982	Degradation/Utilization/Assimilation; Inorganic Nutrient Metabolism
PWY-5983	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-5984	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5985	Biosynthesis; Metabolic Regulator Biosynthesis
PWY-5989	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-5993	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-5998	Biosynthesis; Fatty Acid and Lipid Biosynthesis
PWY-6003	Biosynthesis; Secondary Metabolite Biosynthesis
PWY-6004	Biosynthesis; Amine and Polyamine Biosynthesis
PWY-6011	Degradation/Utilization/Assimilation; Secondary Metabolite Degradation
PWY-6012	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6012-1	Biosynthesis; Cofactor, Prosthetic Group, Electron Carrier, and Vitamin Biosynthesis
PWY-6019	Degradation/Utilization/Assimilation; Nucleoside and Nucleotide Degradation
PWY-6021	Degradation/Utilization/Assimilation; Carboxylate Degradation
